3345	15288412	1
6251	12686749	1
5997	16197558	1
177	17106443	1
9294	21548139	1
3397	11160641	1
6267	21364799	1
942	21037269	1
2284	20138995	1
3283	17440904	1
9238	21980293	1
92982	19158435	1
5833	21982385	1
5870	19762246	1
2244	15787129	1
5202	15338714	1
5793	16198626	1
8567	15814031	1
702	15964156	1
156391	15830426	1
4192	11208621	1
8490	19551980	1
1070	15687795	1
284	22536375	1
309	21561886	1
14956	19225559	1
134070	15659788	1
439353	16045783	1
4763	7526561	1
5641	12202528	1
6274	11327856	1
6212	18529073	1
34367	11771834	1
186148	11368610	1
3730	22805670	1
3902	11268712	1
4192	11228472	1
5991	19931116	1
6251	12797503	1
5997	18792105	1
10494	19388709	1
2474	12765899	1
33032	21826277	1
3404	11379956	1
5202	18344604	1
5962	22330088	1
876	20187960	1
767	22096300	1
6446	22217702	1
702	20421790	1
3776	22140483	1
5793	18292985	1
13192	19434481	1
6106	21901140	1
1044	12106498	1
702	20520722	1
750	11457011	1
6584	18301882	1
5997	16359513	1
8894	20054444	1
10255	12458023	1
5808	15855227	1
5793	22048451	1
5994	17848740	1
6057	11277536	1
2185	19826190	1
942	17900774	1
15939	15530657	1
2315	18326084	1
124886	22710095	1
6912	21196732	1
6322	20634894	1
9782	16394438	1
5994	18319313	1
1071	11969193	1
6238	19786797	1
6306	19808067	1
75547	14768539	1
69676	17696499	1
439357	21143678	1
3624	21110896	1
1993	16845656	1
612	19090976	1
612	15653569	1
60961	20694285	1
5793	18631218	1
5951	22382366	1
1070	16639028	1
1695	12213520	1
702	12507221	1
9284	16556883	1
7896	3726892	1
3404	14534244	1
5988	22165683	1
588	16696918	1
2244	18223514	1
3520	20939536	1
3961	19459427	1
5143	11912193	1
5988	22606641	1
241	17100452	1
311	17199889	1
6057	21731658	1
2244	12723744	1
4272	21221670	1
1060	11390678	1
7708	14567628	1
187	16736240	1
6058	20049920	1
10010	16787765	1
60947	14564315	1
489372	11741777	1
4837	22028595	1
5202	19875429	1
5816	22174710	1
614	14966222	1
1993	16424226	1
767	12702430	1
8778	20301812	1
24769	21887340	1
537111	22902500	1
5994	21256209	1
5997	15564707	1
20279	20361277	1
92982	14501202	1
439574	21994775	1
343494	11408205	1
3604	21837099	1
588	20930986	1
5070	21358979	1
4946	19208401	1
586	15958343	1
586	16243197	1
2905	16105598	1
91557	12691748	1
439494	17119619	1
5070	20641076	1
6057	16822979	1
738	19565007	1
602	18395076	1
795	22102820	1
19211	12659721	1
5757	18006642	1
6049	21845385	1
444	18264876	1
2082	11389749	1
681	14509670	1
7434	11168631	1
68262	21991355	1
41867	15216532	1
6741	18046898	1
284	17625961	1
774	16876810	1
8969	28302559	1
6322	21317211	1
2519	19818197	1
78938	21196457	1
65999	21681185	1
105087	17957816	1
3446	19424763	1
4910	11869877	1
33032	20236222	1
64947	17110502	1
490590	11754575	1
5957	20452342	1
5881	17208382	1
1176	15050967	1
3345	21897900	1
5870	15213709	1
5994	15635598	1
241	15326533	1
2244	19382375	1
3053	11264070	1
6013	14500567	1
738	22899366	1
3446	16644294	1
4192	21808963	1
6087	21719148	1
6342	21931675	1
7047	16183298	1
6057	12094371	1
6468	19686525	1
2713	20463954	1
237332	22516168	1
2185	11959029	1
11357	16460098	1
5793	21069661	1
5997	23056111	1
241	22904927	1
6561	16150581	1
75143	11839454	1
656606	21067804	1
6249	22606011	1
176	18254142	1
702	17399842	1
439260	18037022	1
644241	19468276	1
6342	17383138	1
2244	21103035	1
8778	20406715	1
