1	3-acetyloxy-4-(trimethylazaniumyl)butanoate
2	(2-acetyloxy-3-carboxypropyl)-trimethylazanium
3	5,6-dihydroxycyclohexa-1,3-diene-1-carboxylic acid
4	1-aminopropan-2-ol
5	(3-amino-2-oxopropyl) dihydrogen phosphate
6	1-chloro-2,4-dinitrobenzene
7	9-ethylpurin-6-amine
8	2,3-dihydroxy-3-methylpentanoic acid
9	(2,3,4,5,6-pentahydroxycyclohexyl) dihydrogen phosphate
11	1,2-dichloroethane
12	benzene-1,2,3,5-tetrol
13	1,2,4-trichlorobenzene
14	7-[3-hydroxy-5-oxo-2-(3-oxooct-1-enyl)cyclopentyl]heptanoic acid
15	17-hydroxy-10,13-dimethyl-1,2,4,5,6,7,8,9,11,12,14,15,16,17-tetradecahydrocyclopenta[a]phenanthren-3-one
16	1,8-diazacyclotetradecane-2,9-dione
17	2,3-dihydropyridine-2,6-dicarboxylic acid
18	4,5,6-trihydroxy-2,3-dioxohexanoic acid
19	2,3-dihydroxybenzoic acid
20	3-(2,3-dihydroxyphenyl)propanoic acid
21	2-ethyl-2-hydroxy-3-oxobutanoic acid
22	2-hydroxy-2-methyl-3-oxobutanoic acid
23	2-amino-3-(3-oxoprop-1-enyl)but-2-enedioic acid
24	2-amino-5,6,7,8-tetrahydroxy-6-(1,2,3-trihydroxypropyl)-3,4a,7,8a-tetrahydropteridin-4-one
26	1-(2-amino-7,8-dihydroxy-4-oxo-3,4a,7,8a-tetrahydropteridin-6-yl)propane-1,2-dione
28	2-aminohexa-2,4-dienedioic acid
29	2-amino-3-oxopropanoic acid
30	2-amino-6-oxohexa-2,4-dienoic acid
31	(2,3,4-trihydroxy-3-methylbutyl) dihydrogen phosphate
32	buta-1,3-diene-1,1,4-tricarboxylic acid
33	2-chloroacetaldehyde
34	2-chloroethanol
35	2-(2-chloro-5-oxofuran-2-yl)acetic acid
36	2-hydroxy-3-propan-2-ylbutanedioic acid
37	4,5,6-trihydroxy-2-oxohexanoic acid
38	4-hydroxy-3,3-dimethyl-2-oxobutanoic acid
39	4,4-dimethyloxolane-2,3-dione
40	6-(hydroxymethyl)oxane-2,4,5-triol
41	(2-hydroxy-5-methylsulfanyl-3-oxopent-1-enyl) dihydrogen phosphate
42	2-hydroxy-6-oxonona-2,4-dienedioic acid
43	2-hydroxypentanedioic acid
44	2-hydroxypropanedioate
45	2-hydroxypropanedioic acid
46	4,5-dihydroxy-2-oxo-6-phosphonooxyhexanoic acid
47	3-methyl-2-oxopentanoic acid
48	5-amino-2,5-dioxopentanoic acid
49	3-methyl-2-oxobutanoic acid
50	3,4,5,6-tetrahydroxy-2-oxohexanoic acid
51	2-oxopentanedioic acid
52	S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 3-hydroxy-2-methylbutanethioate
53	S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 2-methyl-3-oxobutanethioate
54	S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 2-methylbutanethioate
55	3-(3,7,11,15,19,23,27,31-octamethyldotriaconta-2,6,10,14,18,22,26,30-octaenyl)benzene-1,2-diol
56	2-(3,7,11,15,19,23,27-heptamethyldotriaconta-2,6,10,14,18,22,26,30-octaenyl)-6-methoxyphenol
57	2-(3,7,11,15,19,23,27,31-octamethyldotriaconta-2,6,10,14,18,22,26,30-octaenyl)phenol
58	2-oxobutanoic acid
59	3-hydroxy-2-phosphonooxypropanoic acid
60	[[5-(4-amino-2-oxopyrimidin-1-yl)-3,4-dihydroxyoxolan-2-yl]methoxy-hydroxyphosphoryl] (2,4-dihydroxy-3-methyl-3-phosphonooxybutyl) hydrogen phosphate
61	2,3-diphosphonooxypropanoic acid
62	2,4,5-trichlorocyclohexa-2,5-dien-1-ol
63	2,4-diaminopentanoic acid
64	2,5-dichlorocyclohexa-2,5-diene-1,4-diol
65	2,5-dichlorobenzene-1,4-diol
66	2,5-dichlorophenol
67	3,4,6-trihydroxy-2,5-dioxohexanoic acid
68	2,4-dihydroxy-6-(hydroxymethyl)-6-methyl-2,4-dioxo-1,3,5,2λ5,4λ5-trioxadiphosphocan-7-ol
69	2-hydroxy-6-oxohepta-2,4-dienoic acid
70	4-methyl-2-oxopentanoic acid
71	2-oxohexanedioic acid
72	3,4-dihydroxybenzoic acid
73	[5-(6-aminopurin-9-yl)-4-hydroxy-2-(phosphonooxymethyl)oxolan-3-yl] dihydrogen phosphate
74	S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 3-oxobutanethioate
75	3-aminopropanal
76	3-hydroxy-10,13-dimethyl-1,2,3,4,7,8,9,11,12,14,15,16-dodecahydrocyclopenta[a]phenanthren-17-one
77	2-hydroxy-2-propan-2-ylbutanedioic acid
78	2-amino-3-chloropropanoic acid
79	pyridine-3-carbonitrile
80	4,5-dihydroxy-3-oxocyclohexene-1-carboxylic acid
81	4,5,6-trihydroxy-2-oxo-7-phosphonooxyheptanoic acid
82	5-(1-carboxyethenoxy)-4-hydroxy-3-phosphonooxycyclohexene-1-carboxylic acid
84	5-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethylsulfanyl]-3-hydroxy-3-methyl-5-oxopentanoic acid
85	(3-carboxy-2-hydroxypropyl)-trimethylazanium
86	2-amino-3-hydroxybenzoic acid
87	3-hydroxy-2-methylpropanoic acid
88	S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethyl] 3-hydroxy-2-methylpropanethioate
89	2-amino-4-(2-amino-3-hydroxyphenyl)-4-oxobutanoic acid
90	6-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethylsulfanyl]-4-hydroxy-6-oxohexanoic acid
91	3-(3-hydroxyphenyl)propanoic acid
92	3-ethenyl-6-[hydroxy-(6-methoxyquinolin-4-yl)methyl]-1-azabicyclo[2.2.2]octan-3-ol
93	3-oxohexanedioic acid
94	6-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxyoxolan-2-yl]methoxy-hydroxyphosphoryl]oxy-hydroxyphosphoryl]oxy-2-hydroxy-3,3-dimethylbutanoyl]amino]propanoylamino]ethylsulfanyl]-4,6-dioxohexanoic acid
95	2,4,5,6-tetrahydroxy-3-oxohexanoic acid
96	3-oxobutanoic acid
97	3,5-dihydroxy-2-(hydroxymethyl)-6-[4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxan-4-one
98	2-oxo-3-sulfanylpropanoic acid
